latitude,longitude,halfAngle,target
-37.0,19.0,51.0,0
10.0,-2.0,40.0,0
17.0,-148.0,21.0,0
15.0,-125.0,26.0,0
26.0,38.0,70.0,1
-22.0,-136.0,28.0,0
-26.0,-139.0,60.0,0
-15.0,6.0,25.0,0
-1.0,-106.0,42.0,0
-11.0,-95.0,49.0,0
-20.0,10.0,55.0,0
-9.0,-8.0,40.0,0
-2.0,-67.0,47.0,0
15.0,-63.0,40.0,0
7.0,-70.0,34.0,0
7.0,-70.0,46.0,0
7.0,65.0,60.0,0
15.0,73.0,55.0,0
20.0,-10.0,28.0,0
-8.0,104.0,39.0,0
5.0,145.0,75.0,0
-35.0,95.0,68.0,0
-13.0,-135.0,92.0,0
-11.0,-10.0,27.0,0
-33.0,172.0,58.0,0
-21.0,-6.0,18.0,0
-29.0,-9.0,27.0,0
-5.0,-7.0,60.0,0
-29.0,82.0,50.0,0
25.0,30.0,30.0,0
33.0,3.0,30.0,0
9.0,114.0,36.0,0
48.0,-15.0,45.0,1
-31.0,51.0,40.0,0
-30.0,-168.0,41.0,0
0.0,172.0,29.0,0
-31.0,-134.0,90.0,0
-2.0,-121.0,23.0,0
-1.0,101.0,65.0,0
29.0,6.0,41.0,0
-55.0,117.0,49.0,0
30.0,93.0,13.0,0
-28.0,119.0,36.0,0
16.0,-7.0,43.0,0
-35.0,-85.0,38.0,0
-12.0,-80.0,57.0,0
-5.0,-160.0,40.0,0
43.0,-78.0,30.0,0
21.0,-83.0,20.0,0
-25.0,170.0,50.0,0
-17.0,-61.0,45.0,0
-15.0,-63.0,58.0,0
5.0,-130.0,29.0,0
7.0,-125.0,35.0,0
-20.0,140.0,67.0,0
-39.0,110.0,29.0,0
-34.0,29.0,62.0,0
17.0,-34.0,21.0,0
-16.0,-108.0,49.0,0
2.0,-8.0,32.0,0
21.0,22.0,45.0,0
10.0,8.0,60.0,0
36.0,26.0,45.0,0
-6.0,127.0,48.0,0
-28.0,-49.0,63.0,1
59.0,-65.0,38.0,0
-13.0,-151.0,59.0,0
-37.0,-1.0,45.0,0
-48.0,-39.0,45.0,0
-4.0,79.0,40.0,0
-25.0,129.0,29.0,0
-11.0,-78.0,66.0,1
45.0,170.0,60.0,0
37.0,154.0,42.0,0
30.0,-154.0,60.0,0
4.0,-35.0,52.0,0
36.0,-44.0,40.0,0
34.0,36.0,46.0,0
19.0,-50.0,68.0,0
26.0,145.0,40.0,0
-32.0,124.0,37.0,0
40.0,156.0,40.0,0
0.0,-158.0,56.0,0
-34.0,10.0,45.0,0
-14.0,113.0,50.0,0
11.0,51.0,25.0,0
-4.0,-121.0,49.0,0
-3.0,103.0,32.0,0
-6.0,122.0,41.0,0
6.0,130.0,46.0,0
4.0,140.0,56.0,0
27.0,7.0,28.0,0
-29.0,-165.0,60.0,0
-45.0,-41.0,43.0,1
-14.0,115.0,39.0,0
-3.0,-154.0,70.0,0
-6.0,-89.0,40.0,0
-10.0,-86.0,64.0,0
-37.0,56.0,61.0,0
47.0,-5.0,33.0,0
-18.0,-93.0,22.0,0
2.0,-19.0,47.0,0
-45.0,-170.0,35.0,0
26.0,-7.0,35.0,0
38.0,142.0,27.0,0
33.0,119.0,48.0,0
-10.0,-138.0,30.0,0
-15.0,-56.0,23.0,0
43.0,-14.0,38.0,0
-17.0,-55.0,25.0,0
34.0,-67.0,49.0,0
-6.0,116.0,54.0,0
-19.0,13.0,14.0,0
32.0,143.0,18.0,0
-15.0,110.0,33.0,0
-34.0,-19.0,34.0,0
45.0,-163.0,37.0,0
17.0,135.0,51.0,0
20.0,-172.0,54.0,0
-18.0,177.0,44.0,0
12.0,5.0,39.0,1
10.0,29.0,50.0,0
19.0,29.0,30.0,0
12.0,74.0,60.0,0
12.0,77.0,35.0,0
-8.0,-109.0,24.0,0
-10.0,-110.0,33.0,0
-9.0,-111.0,14.0,0
26.0,-30.0,43.0,0
15.0,10.0,45.0,1
13.0,-161.0,40.0,0
27.0,144.0,40.0,0
13.0,-165.0,46.0,0
1.0,-69.0,27.0,0
10.0,-170.0,45.0,0
-20.0,20.0,17.0,0
-20.0,96.0,42.0,0
-10.0,73.0,44.0,0
-13.0,-88.0,9.0,0
-31.0,18.0,28.0,0
-9.0,-43.0,32.0,0
26.0,-53.0,43.0,0
30.0,-89.0,39.0,0
29.0,-108.0,47.0,0
15.0,-71.0,45.0,0
27.0,-58.0,50.0,0
37.0,-45.0,42.0,0
21.0,-26.0,52.0,0
30.0,30.0,21.0,0
-20.0,170.0,25.0,0
-9.0,150.0,50.0,0
-3.0,-34.0,17.0,0
-30.0,5.0,29.0,0
-9.0,-20.0,45.0,0
-43.0,23.0,25.0,0
3.0,34.0,23.0,0
3.0,-45.0,27.0,0
13.0,55.0,27.0,0
26.0,-65.0,41.0,0
-32.0,-129.0,43.0,0
-9.0,-176.0,46.0,0
3.0,-170.0,43.0,0
-20.0,-100.0,42.0,0
-18.0,-105.0,39.0,0
-6.0,-90.0,36.0,0
-11.0,-90.0,47.0,0
-12.0,-78.0,45.0,0
-11.0,-50.0,32.0,0
6.0,-45.0,37.0,0
-12.0,32.0,45.0,1
-5.0,64.0,20.0,0
14.0,-126.0,55.0,0
-25.0,-29.0,36.0,0
-9.0,-15.0,22.0,0
-23.0,-145.0,35.0,0
44.0,-90.0,40.0,0
20.0,80.0,50.0,0
16.0,-168.0,48.0,0
-32.0,-31.0,50.0,0
43.0,-85.0,38.0,0
42.0,-65.0,35.0,0
-11.0,26.0,29.0,0
-1.0,85.0,43.0,0
37.0,7.0,37.0,0
30.0,-31.0,43.0,0
-19.0,90.0,40.0,0
11.0,-50.0,45.0,0
-33.0,9.0,54.0,0
7.0,-8.0,47.0,1
14.0,3.0,45.0,1
23.0,46.0,41.0,0
-19.0,51.0,38.0,0
-22.0,36.0,41.0,1
-15.0,32.0,23.0,1
-33.0,-7.0,39.0,0
5.0,-2.0,27.0,0
-43.0,10.0,23.0,1
-25.0,-20.0,55.0,1
-15.0,-26.0,18.0,1
45.0,38.0,38.0,1
-26.0,7.0,38.0,1
-23.0,51.0,40.0,0
-13.0,37.0,43.0,0
-15.0,151.0,28.0,0
-24.0,95.0,31.0,0
8.0,76.0,33.0,0
-6.0,18.0,50.0,1
-28.0,31.0,41.0,0
-3.0,-160.0,44.0,0
12.0,-30.0,45.0,1
-8.0,-9.0,45.0,1
-21.0,-56.0,18.0,0
-15.0,14.0,58.0,1
-34.0,73.0,37.0,0
-7.0,138.0,45.0,0
-30.0,31.0,45.0,1
-31.0,44.0,35.0,0
14.0,3.0,45.0,0
1.0,90.0,44.0,0
23.0,10.0,20.0,0
-32.0,48.0,18.0,1
23.0,14.0,31.0,0
14.0,-65.0,20.0,0
28.0,-53.0,36.0,0
34.0,-24.0,35.0,0
-16.0,-173.0,44.0,0
9.0,58.0,37.0,0
7.0,-163.0,45.0,0
5.0,-165.0,45.0,0
39.0,-102.0,13.0,0
3.0,-37.0,36.0,0
11.0,-166.0,42.0,0
22.0,-89.0,19.0,0
-2.0,-22.0,29.0,0
15.0,70.0,40.0,0
7.0,10.0,45.0,0
-18.0,-122.0,43.0,0
7.0,-65.0,23.0,0
10.0,-22.0,37.0,1
-17.0,-153.0,35.0,0
10.0,-145.0,42.0,0
23.0,26.0,35.0,0
20.0,54.0,21.0,0
15.0,65.0,17.0,0
9.0,63.0,30.0,0
13.0,61.0,19.0,0
18.0,75.0,12.0,0
-3.0,-78.0,16.0,0
21.0,-76.0,50.0,0
-23.0,4.0,25.0,0
-7.0,12.0,26.0,0
37.0,17.0,39.0,0
-9.0,40.0,49.0,1
13.0,154.0,33.0,0
-4.0,170.0,46.0,0
4.0,-136.0,38.0,0
-9.0,-109.0,21.0,0
3.0,90.0,32.0,0
-6.0,26.0,25.0,0
-10.0,10.0,46.0,0
-15.0,23.0,44.0,1
-4.0,99.0,30.0,0
-13.0,51.0,13.0,0
-16.0,53.0,16.0,0
-12.0,85.0,54.0,0
-9.0,-36.0,22.0,0
-3.0,-163.0,49.0,0
-33.0,-163.0,29.0,0
-9.0,-117.0,42.0,0
-12.0,-59.0,27.0,0
11.0,90.0,27.0,0
-7.0,22.0,49.0,0
-12.0,-12.0,29.0,0
9.0,-102.0,23.0,0
-5.0,-10.0,22.0,0
10.0,0.0,19.0,1
-6.0,-105.0,20.0,0
2.0,-97.0,15.0,0
-1.0,-105.0,14.0,0
7.0,3.0,27.0,0
1.0,14.0,41.0,0
3.0,-124.0,22.0,0
-12.0,-129.0,25.0,0
12.0,-75.0,31.0,0
14.0,-36.0,33.0,0
-12.0,-75.0,32.0,0
-5.0,10.0,24.0,0
0.0,2.0,28.0,0
-15.0,-15.0,26.0,0
-13.0,10.0,27.0,0
-5.0,3.0,17.0,0
-1.0,31.0,30.0,0
-6.0,-73.0,27.0,0
-12.0,12.0,25.0,0
8.0,-5.0,23.0,0
-3.0,-68.0,24.0,0
-7.0,-86.0,19.0,0
-2.0,-58.0,32.0,0
6.0,-70.0,30.0,0
-9.0,-42.0,17.0,0
1.0,-65.0,30.0,0
1.0,-10.0,19.0,0
3.0,-39.0,15.5,0
8.0,-50.0,12.0,0
6.0,-100.0,32.0,0
-6.0,-75.0,58.0,0
-21.0,12.0,41.0,0
3.0,-121.0,26.0,0
-13.2,-55.0,19.5,0
-22.0,15.0,25.0,0
-26.0,44.0,30.0,0
-18.0,-31.0,50.0,0
-5.0,46.0,18.0,0
-2.0,-90.0,11.0,0
6.0,-20.0,35.0,0
10.0,24.0,30.0,0
-4.0,19.0,28.0,0
-7.0,-37.0,28.0,0
-13.0,-8.0,30.0,0
-15.0,-41.0,23.0,0
-18.0,7.0,22.0,0
2.0,-90.0,15.0,0
5.0,-78.0,40.0,0
-4.0,-10.0,27.0,1
12.0,-60.0,45.0,0
-4.0,0.0,14.0,0
3.0,78.0,20.0,0
7.0,86.0,26.0,0
-1.0,-100.0,19.0,0
-3.0,-20.0,21.0,0
15.0,-17.0,20.0,0
13.0,25.0,26.0,0
5.0,22.0,26.0,0
8.0,25.0,31.0,0
1.0,27.0,23.0,0
6.0,35.0,11.0,0
-9.0,62.0,46.0,0
-2.0,-34.0,32.0,0
-5.0,-90.0,37.0,0
-9.0,77.0,24.0,0
-7.0,83.0,33.0,0
0.0,36.0,30.0,0
-2.0,90.0,31.0,0
-2.0,92.0,29.0,0
-7.0,97.0,23.0,0
15.0,90.0,20.0,0
-3.0,68.0,13.0,0
-1.0,89.0,23.0,0
6.0,93.0,31.0,0
6.0,59.0,19.0,0
12.0,95.0,29.0,0
17.0,91.0,27.0,0
2.0,-20.0,14.0,0
26.0,-43.0,29.0,0
-1.0,24.0,27.0,0
-3.0,-46.0,39.0,0
6.0,63.0,32.0,0
-17.0,-19.0,36.0,0
-2.0,-25.0,33.0,0
18.0,40.0,26.0,0
-2.0,42.0,15.0,0
-4.0,-9.0,36.0,0
-12.0,39.0,29.0,0
-12.0,51.0,27.0,0
-11.0,-85.0,14.0,0
11.0,-1.0,35.0,0
8.0,-36.0,33.0,0
7.0,-39.0,27.0,0
12.0,-20.0,45.0,0
-4.0,-15.0,33.0,0
-10.0,-2.0,45.0,0
2.0,-5.0,10.0,0
7.0,0.0,45.0,0
-13.0,56.0,40.0,0
6.0,9.0,31.0,0
-30.0,-61.0,22.0,0
-41.0,-100.0,24.0,0
-14.0,-32.0,48.0,0
-21.0,-16.0,32.0,0
-13.0,29.0,24.0,0
-17.0,43.0,45.0,0
-4.0,34.0,27.0,0
-1.0,37.0,16.0,0
6.0,9.0,45.0,1
-1.0,30.0,35.0,0
1.0,74.0,33.0,0
12.0,56.0,14.0,0
