halfAngle,speed,target
15.0,350.0,0
22.0,600.0,0
33.0,600.0,0
41.0,558.0,1
40.0,268.0,0
69.0,690.0,0
60.0,700.0,1
67.0,508.0,0
60.0,1540.0,2
23.0,469.0,0
51.0,1363.0,2
35.0,605.0,1
20.0,545.0,0
50.0,2200.0,5
65.0,1800.0,4
30.0,300.0,0
32.0,395.0,0
15.0,300.0,0
60.0,1125.0,1
28.0,590.0,0
26.0,560.0,0
22.0,630.0,0
55.0,1400.0,2
40.0,640.0,0
60.0,2250.0,3
30.0,500.0,0
27.0,570.0,0
20.0,300.0,0
28.0,500.0,0
28.0,730.0,0
28.0,648.0,0
27.0,926.0,0
60.0,1450.0,2
60.0,1550.0,1
23.0,650.0,0
60.0,1600.0,2
30.0,560.0,1
20.0,750.0,0
40.0,696.0,0
33.0,455.0,0
50.0,1450.0,3
26.0,750.0,0
16.0,620.0,0
32.0,1035.0,0
28.0,400.0,0
37.0,708.0,1
43.0,485.0,0
18.0,333.0,0
29.0,322.0,0
36.0,608.0,0
36.0,686.0,0
30.0,733.0,0
25.0,680.0,0
43.0,907.0,0
45.0,760.0,1
48.0,982.0,0
26.0,638.0,0
20.0,700.0,0
33.0,470.0,1
35.0,1000.0,1
30.0,320.0,0
15.0,430.0,0
55.0,1250.0,0
20.0,580.0,0
22.0,510.0,0
22.0,385.0,0
24.0,580.0,0
27.0,700.0,0
18.0,460.0,0
22.0,890.0,0
30.0,500.0,0
20.0,360.0,0
20.0,450.0,0
25.0,650.0,1
32.0,535.0,0
18.0,400.0,0
17.0,441.0,0
38.0,600.0,0
39.0,646.0,0
23.0,590.0,0
30.0,500.0,0
31.0,500.0,0
25.0,700.0,0
33.0,600.0,0
25.0,300.0,0
23.0,475.0,0
16.0,610.0,0
33.0,550.0,0
40.0,960.0,0
35.0,385.0,0
35.0,650.0,0
35.0,650.0,0
30.0,300.0,0
35.0,600.0,0
55.0,700.0,1
58.0,738.0,0
37.0,622.0,0
31.0,439.0,0
14.0,831.0,0
45.0,1040.0,1
19.0,550.0,1
16.0,520.0,0
31.0,500.0,0
29.0,483.0,0
28.0,480.0,0
25.0,511.0,0
24.0,410.0,0
45.0,1500.0,2
22.0,700.0,0
40.0,762.0,0
30.0,587.0,0
35.0,300.0,0
35.0,412.0,0
26.0,620.0,0
25.0,318.0,0
45.0,774.0,0
18.0,580.0,0
23.0,177.0,0
30.0,430.0,0
70.0,1100.0,3
38.0,960.0,0
25.0,645.0,0
20.0,340.0,0
25.0,495.0,0
35.0,450.0,0
30.0,530.0,0
30.0,730.0,0
25.0,766.0,0
40.0,1044.0,0
29.0,486.0,0
11.0,703.0,0
41.0,604.0,1
50.0,1364.0,2
40.0,735.0,0
15.0,530.0,0
20.0,576.0,0
40.0,400.0,1
34.0,450.0,0
23.0,750.0,0
62.0,588.0,1
38.0,427.0,0
65.0,410.0,0
11.0,600.0,0
27.0,300.0,0
25.0,670.0,0
12.0,800.0,0
55.0,380.0,0
17.0,450.0,0
16.0,552.0,0
32.0,485.0,0
62.0,876.0,0
20.0,798.0,0
35.0,483.0,0
31.0,674.0,0
22.0,476.0,0
23.0,1344.0,0
24.0,820.0,0
35.0,1100.0,0
21.0,460.0,1
29.0,715.0,0
28.0,550.0,0
19.0,520.0,0
27.0,605.0,0
27.0,400.0,0
23.0,441.0,0
15.0,316.0,0
31.0,535.0,1
30.0,435.0,0
22.0,640.0,1
28.0,1000.0,0
30.0,352.0,0
40.0,1200.0,0
20.0,850.0,0
40.0,700.0,0
30.0,1000.0,1
25.0,685.0,0
40.0,595.0,0
45.0,610.0,0
20.0,540.0,0
45.0,440.0,1
70.0,1400.0,5
45.0,1100.0,1
40.0,1035.0,0
50.0,1200.0,1
80.0,3435.0,3
32.0,323.0,0
49.0,423.0,0
60.0,802.0,0
22.0,380.0,0
50.0,750.0,0
39.0,540.0,0
39.0,800.0,0
45.0,745.0,1
20.0,445.0,0
22.0,430.0,0
16.0,230.0,0
19.0,580.0,1
36.0,700.0,1
25.0,550.0,0
30.0,500.0,0
25.0,400.0,0
25.0,500.0,0
35.0,751.0,0
30.0,350.0,0
30.0,544.0,0
25.0,600.0,0
20.0,230.0,0
25.0,960.0,0
20.0,350.0,0
15.0,1100.0,0
27.0,511.0,0
38.0,520.0,0
38.0,950.0,0
27.0,435.0,0
75.0,1498.0,4
30.0,730.0,0
25.0,350.0,0
30.0,315.0,0
62.0,840.0,1
26.0,415.0,0
28.0,560.0,0
28.0,456.0,0
24.0,312.0,0
25.0,337.0,0
44.0,480.0,0
54.0,343.0,0
17.0,1000.0,1
38.0,500.0,1
37.0,523.0,0
56.0,2319.0,3
28.0,1040.0,0
37.0,790.0,0
25.0,982.0,0
58.0,1056.0,0
64.0,1592.0,2
85.0,1160.0,4
26.0,950.0,0
28.0,484.0,0
28.0,275.0,0
30.0,390.0,0
47.0,650.0,1
26.0,430.0,0
76.0,677.0,0
35.0,850.0,0
30.0,516.0,0
25.0,630.0,0
25.0,480.0,0
29.0,255.0,0
35.0,504.0,0
35.0,500.0,0
29.0,700.0,0
38.0,436.0,0
25.0,380.0,1
48.0,700.0,1
22.0,377.0,1
36.0,420.0,1
45.0,496.0,0
16.0,310.0,0
40.0,580.0,0
30.0,317.0,0
35.0,430.0,0
35.0,500.0,0
30.0,366.0,1
55.0,680.0,0
70.0,1285.0,1
27.0,530.0,1
27.0,752.0,1
23.0,617.0,0
27.0,570.0,1
20.0,900.0,0
32.0,400.0,0
31.0,650.0,0
25.0,556.0,0
25.0,834.0,0
28.0,276.0,0
38.0,642.0,0
39.0,392.0,0
47.0,643.0,0
52.0,707.0,0
35.0,496.0,0
30.0,725.0,3
26.0,730.0,0
30.0,351.0,0
45.0,850.0,0
20.0,530.0,0
35.0,500.0,0
30.0,440.0,0
45.0,342.0,0
42.0,610.0,1
50.0,975.0,0
30.0,272.0,0
56.0,760.0,0
23.0,470.0,0
31.0,820.0,0
25.0,315.0,0
35.0,507.0,0
20.0,336.0,0
30.0,470.0,0
27.0,659.0,0
55.0,734.0,0
35.0,450.0,0
45.0,900.0,0
39.0,558.0,0
30.0,700.0,0
64.0,550.0,1
17.0,575.0,0
23.0,400.0,0
12.0,410.0,0
27.0,418.0,0
20.0,440.0,0
25.0,360.0,0
32.0,375.0,0
40.0,520.0,1
39.0,359.0,0
32.0,244.0,0
30.0,685.0,0
22.0,325.0,0
31.0,447.0,1
30.0,450.0,0
72.0,723.0,0
31.0,530.0,0
40.0,550.0,0
35.0,510.0,0
45.0,600.0,0
27.0,350.0,0
25.0,355.0,0
25.0,925.0,0
32.0,576.0,0
24.0,625.0,0
35.0,320.0,0
18.0,740.0,0
38.0,1226.0,0
50.0,582.0,0
26.0,436.0,0
32.0,825.0,0
30.0,1100.0,0
35.0,500.0,0
17.0,822.0,0
31.0,797.0,0
38.0,550.0,0
30.0,565.0,0
45.0,525.0,0
25.0,810.0,0
42.0,450.0,0
36.0,430.0,0
45.0,730.0,0
75.0,900.0,1
28.0,450.0,0
40.0,621.0,0
25.0,357.0,0
70.0,1900.0,3
30.0,691.0,0
35.0,450.0,0
49.0,660.0,0
55.0,680.0,0
66.0,1485.0,3
32.0,873.0,0
35.0,520.0,0
25.0,450.0,0
22.0,540.0,0
28.0,633.0,0
28.0,1200.0,0
55.0,520.0,1
25.0,520.0,0
20.0,650.0,0
58.0,675.0,4
56.0,440.0,0
56.0,493.0,0
39.0,800.0,2
50.0,880.0,2
40.0,1000.0,0
34.0,380.0,0
33.0,400.0,0
35.0,815.0,1
33.0,880.0,1
30.0,493.0,0
35.0,450.0,0
25.0,435.0,1
36.0,860.0,1
28.0,395.0,0
22.0,350.0,0
40.0,650.0,0
22.0,520.0,1
19.0,410.0,0
18.0,630.0,0
50.0,555.0,1
35.0,575.0,0
34.0,700.0,0
30.0,1200.0,1
27.0,570.0,0
27.0,330.0,0
40.0,1900.0,1
35.0,2200.0,0
40.0,1100.0,2
35.0,1054.0,0
47.0,1400.0,1
22.0,304.0,1
53.0,800.0,0
45.0,650.0,1
60.0,1200.0,4
46.0,879.0,1
38.0,420.0,0
27.0,464.0,0
28.0,870.0,0
30.0,300.0,0
50.0,600.0,0
28.0,610.0,0
33.0,590.0,0
27.0,360.0,0
20.0,920.0,0
43.0,1253.0,0
25.0,441.0,0
18.0,350.0,0
27.0,800.0,1
27.0,765.0,1
26.0,1000.0,0
47.0,660.0,0
40.0,500.0,0
26.0,682.0,0
70.0,1970.0,3
50.0,450.0,0
64.0,732.0,1
40.0,600.0,0
32.0,540.0,0
28.0,751.0,0
41.0,1200.0,0
35.0,440.0,0
63.0,915.0,2
40.0,450.0,0
45.0,700.0,0
45.0,600.0,0
22.0,379.0,0
40.0,600.0,2
20.0,391.0,0
20.0,278.0,0
20.0,900.0,0
30.0,380.0,0
25.0,270.0,0
30.0,360.0,0
